Word,POS-tag,Sentence
So,IN,So the Department of Defense announced a DPA action this weekend.
the,DT,So the Department of Defense announced a DPA action this weekend.
Department,NNP,So the Department of Defense announced a DPA action this weekend.
of,IN,So the Department of Defense announced a DPA action this weekend.
Defense,NNP,So the Department of Defense announced a DPA action this weekend.
announced,VBD,So the Department of Defense announced a DPA action this weekend.
a,DT,So the Department of Defense announced a DPA action this weekend.
DPA,NNP,So the Department of Defense announced a DPA action this weekend.
action,NN,So the Department of Defense announced a DPA action this weekend.
this,DT,So the Department of Defense announced a DPA action this weekend.
weekend,NN,So the Department of Defense announced a DPA action this weekend.
.,.,So the Department of Defense announced a DPA action this weekend.
That,DT,That’s—when you talk about partisanship—and it’s never ever happened before.
’,VBZ,That’s—when you talk about partisanship—and it’s never ever happened before.
s—when,NN,That’s—when you talk about partisanship—and it’s never ever happened before.
you,PRP,That’s—when you talk about partisanship—and it’s never ever happened before.
talk,VBP,That’s—when you talk about partisanship—and it’s never ever happened before.
about,IN,That’s—when you talk about partisanship—and it’s never ever happened before.
partisanship—and,NN,That’s—when you talk about partisanship—and it’s never ever happened before.
it,PRP,That’s—when you talk about partisanship—and it’s never ever happened before.
’,VBZ,That’s—when you talk about partisanship—and it’s never ever happened before.
s,JJ,That’s—when you talk about partisanship—and it’s never ever happened before.
never,RB,That’s—when you talk about partisanship—and it’s never ever happened before.
ever,RB,That’s—when you talk about partisanship—and it’s never ever happened before.
happened,VBD,That’s—when you talk about partisanship—and it’s never ever happened before.
before,IN,That’s—when you talk about partisanship—and it’s never ever happened before.
.,.,That’s—when you talk about partisanship—and it’s never ever happened before.
Do,VBP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
you,PRP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
think,VB,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
there,EX,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
is,VBZ,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
a,DT,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
risk,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
that,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
there,EX,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
’,NNP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
ll,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
be—there,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
will,MD,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
be,VB,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
some—there,RB,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
