Token,Length
"10,000",6
ga,2
expans,6
disturb,7
invest,6
local,5
explicit,8
reciproc,8
dachau,6
my,2
championship,12
south,5
father,6
states—som,10
follow-up,9
whom,4
allow,5
minor,5
traffic,7
privileg,8
80,2
iron,4
wood,4
test,4
38-year,7
deadli,6
measur,6
chance.,7
flourish,8
raid.baghdadi,13
sight,5
talented.,9
bill—th,7
biggest—th,10
decontamin,10
rear,4
of—thousand,11
global,6
injur,5
shortstop,9
stabil,6
graduat,7
sum,3
shouldn,7
con,3
bahrain,7
greenstein,10
data-collect,12
cure,4
28,2
polowczyk,9
government-wid,14
have—in,7
recent,6
six,3
whoa,4
competitor,10
detail,6
confer,6
illustr,7
baselin,7
court,5
luther,6
railroad,8
producing—ha,12
threaten,8
campaign,8
donat,5
sister,6
solid,5
deterr,6
years—and,9
row,3
statewid,8
antibodi,8
homeown,7
prejudic,8
withdraw,8
molecular,9
element,7
troubl,6
this—author,11
high-grad,9
fella,5
oman,4
start,5
make,4
imped,5
disincent,9
activ,5
power,5
208,3
yeah,4
appreci,7
full,4
stand,5
guid,4
condol,6
delay,5
lockdown,8
transcript,10
investig,8
trap,4
lesko.,6
caravan,7
nobody—nobodi,13
–which,6
bind,4
7,1
legisl,6
root,4
jong,4
traffick,8
brightest,9
introduc,8
scientif,8
plan,4
brigadi,7
enable—it,9
adventur,8
your—do,7
repres,6
creat,5
stock,5
dnc,3
honestli,8
dare,4
has—h,5
gone,4
IQ,2
regist,6
stake,5
side,4
leftist,7
nasti,5
convict,7
phrase,6
respond,7
limit,5
18,2
confus,6
initi,5
step,4
continu,7
reverend,8
diseas,6
moon,4
sleazebag,9
individu,8
valuable—th,11
overcom,7
network—th,10
pandemic—anyth,14
ve—i,4
wise,4
bit—did,7
spread.,7
deferr,6
protect,7
belong,6
wealthi,7
cooki,5
tilli,5
know,4
capabl,6
anticip,7
add,3
artifici,8
solemn,6
mcfarland,9
packag,6
upcom,5
addict,6
same,4
concoct,7
"250,000",7
luxuri,6
vow,3
result,6
killer,6
nih,3
mighti,6
ensur,5
recommend,9
precaut,7
direct—direct,13
week—thes,9
drive-bi,8
03,2
night,5
revolt,6
climber,7
him,3
surviv,6
coward,6
outcom,6
4.4,3
forward—they,12
"1,700",5
profession,10
immort,6
pack,4
they—someth,11
thunder,7
patient,7
dr.,3
therapeut,9
load,4
01,2
snowi,5
take,4
rekindl,7
rest,4
horrif,6
teacher,7
project,7
those—w,7
the—that,8
schedul,7
bigfoot,7
byrn,4
deni,4
deduct,6
fool,4
think,5
freed,5
thank,5
tomorrow,8
if—if,5
much,4
desecr,6
incredible.,11
contain,7
burglar,7
people—th,9
law,3
retain,6
are—can,7
laura,5
shock,5
afford,6
screen,6
right,5
animals.,8
bishop,6
say,3
such,4
13th,4
estim,5
conform,7
jobs—to,7
gener,5
jordanian,9
hunt,4
people—hav,10
thick,5
it.,3
renov,5
parade—chinatown,16
agricultur,10
wrong—thi,9
5.5,3
degre,5
brother,7
propos,6
faith,5
ms-13,5
cities—includ,13
sever,5
ami,3
articul,7
wonder,6
featur,6
mean,4
59-nation,9
flawless,8
home,4
wherev,6
say—would,9
bullshit,8
revolution,10
prove,5
awful.,6
sneez,5
fraction,8
card,4
art,3
life-sav,8
drug,4
highlight—and,13
piec,4
clarifi,7
generation—onlin,16
hours—it,8
in—bi,5
leave—so,8
penalti,7
cross,5
drop,4
decis,5
bill,4
edg,3
lasts—th,8
together—tight,14
explod,6
martha,6
execut,6
sustain,7
audienc,7
hand,4
camp,4
kidney,6
open,4
competit,8
prosper,7
be—i,4
somewher,8
mention,7
abraham,7
in—which,8
indic,5
parent,6
payment,7
water.,6
effect,6
die,3
fortun,6
research,8
96,2
passion,7
saus,4
join,4
sba,3
wyatt,5
arsonist,8
T.,2
squar,5
foster,6
bargain,7
into—i,6
author,6
connecticut,11
survivor,8
michael,7
open—excus,10
duct,4
mcconnell—thank,15
five,4
decim,5
and—al,6
valu,4
system—wher,11
provis,6
countri,7
turkey,6
vandal,6
bright,6
task,4
nonsens,7
wa,2
By,2
andrew,6
imagin,6
stabl,5
american—best,13
chang,5
airplan,7
covid-rel,9
journal,7
:,1
control,7
takeov,6
dialogu,7
extraordinari,13
sentenc,7
urban,5
reprogram,9
hit,3
schengen,8
navi,4
happen,6
wellb,5
suggest,7
box,3
great,5
cupboard,8
get,3
guardsmen,9
swine,5
republican,10
where,5
unlock,6
overnight.,10
ski,3
from,4
plant,5
structur,8
case.,5
house—to,8
har,3
cloak,5
meet,4
protocol,8
oxford,6
luke,4
fight,5
victori,7
greg,4
railing.,8
spread,6
extrajudici,11
bankruptci,10
exclus,6
determine—w,11
deter,5
people—so,9
"60,000",6
gerald,6
absente,7
menendez,8
jobs—someth,11
eat,3
corp,4
sudden—y,8
requir,6
moldex,6
"45,000",6
human,5
popul,5
comment,7
jet,3
alongsid,8
ukrain,6
readi,5
tone,4
"7,000",5
abus,4
then,4
deadlin,7
have—thes,9
nomin,5
partner,7
one-way,7
true,4
grandmoth,9
incid,5
cancel,6
approved—rath,13
weeks—eight,11
as—i,4
tailwind,8
it,2
mismanag,8
improv,6
resourc,7
display,7
10th,4
nfl,3
bare,4
opt,3
non-essenti,11
kerri,5
parade.,7
It,2
check,5
establish,9
you…,4
alli,4
trash,5
hahn—dr,7
anderson,8
sick,4
philip,6
plunder,7
14-day,6
use,3
support,7
presid,6
larg,4
pilot,5
mid-siz,7
wipe,4
contact,7
togeth,6
wonder—i,8
coalit,6
diagnos,7
h1n1,4
11,2
re—a,4
poll,4
down.w,6
"70,000",6
tattoo,6
turn,4
includ,6
learn,5
happi,5
car,3
damn,4
arabian,7
deploy,6
contrast,8
profound,8
lieuten,7
8800,4
oper,4
riot,4
million,7
heap,4
greatest,8
framework,9
leader,6
of,2
equal,5
louder,6
hasten,6
attack,6
boldli,6
