Token,Length
fortifi,7
20,2
cs2cof6,7
cycl,4
genu,4
counterfeit,11
name,4
main,4
preemin,7
alon,4
case,4
trialkyl,8
silver,6
statu,5
lithia,6
premium,7
swim,4
sesam,5
etc.,4
smooth,6
abras,5
petrochem,9
cobalt-57,9
1709,4
sediment,8
primordi,8
anim,4
1978,4
muntz,5
zr4+,4
dicyclopentadienyl,18
eukaryot,8
petayear,8
cathod,6
I2,2
ng,2
coat,4
punish,6
filler,6
persist,7
100mo,5
serv,4
polio,5
"n,2n",4
aso2,4
occasion,8
peroxid,7
reaction,8
lymph,5
keton,5
wet-chem,8
0.039,5
smithsonit,10
reactor,7
shade,5
atacama,7
paleoproterozo,14
applic,6
spong,5
secret,6
170,3
opaqu,5
fluoro,6
knob,4
glenn,5
hemerdon,8
workday,7
preferenti,10
three,5
meta,4
chromobacterium,15
bolt,4
turbin,6
line,4
safflorit,9
48ca,4
radiometr,9
mainten,7
spur,4
export,6
10−23,5
0.157,5
rather,6
technolog,9
seal,4
watch,5
nhc,3
_,1
acquisit,8
2.73,4
by-product,10
landmark,8
IR,2
render,6
nickel-alloy,12
ignit,5
stockpil,8
sno2,4
repres,6
galact,6
silvery-whit,12
millimol,8
english,7
uphaz,5
these,5
eubacteria,10
augustu,7
descript,8
fume,4
over,4
980,3
revolution,10
feso4·7h2o,10
attack,6
pneumatica,10
sex,3
extracellular,13
posit,5
"1,800,000",9
vam,3
nativ,5
sculptur,8
denot,5
parathyroid,11
400-meter,9
57,2
107pd–107ag,11
electrochem,11
twist,5
ting,4
bind,4
heavi,5
syndrom,7
convent,7
wet,3
fe2+,4
resist,6
prospect,8
kind,4
millennium,10
17th,4
persuad,7
roman,5
water-solubl,12
clearli,7
carlo,5
lend,4
bear,4
g.a,3
aim,3
3–4,3
r-coo-r,7
u4f17,5
niter,5
gray,4
soil,4
5100,4
athen,5
seat,4
0.021,5
limulu,6
fraudul,7
branch,6
वैडूर्य,7
1967,4
black-ey,8
oxygen-18,9
match,5
fertil,6
poultri,7
brine,5
blind,5
ferropericlas,13
mani,4
sonogashira,11
dispers,7
1868,4
gate,4
exhibit,7
o2-rich,7
hafnium-fre,11
0.36,4
toward,6
37,2
fossil,6
resembl,7
guin,4
60-year,7
lumin,5
remark,6
radiographi,11
6.0,3
tc−o,4
becom,5
unburn,6
bay,3
26mg,4
european,8
10–15,5
nucleu,6
bandag,6
urbain,6
bead,4
200–400,7
show,4
cylind,6
start,5
depart,6
iter,4
matter,6
scientist,9
much,4
complic,7
nitrogenas,10
medica,6
footbal,7
fluorin,7
typic,5
easier,6
coproduc,8
late-season,11
wale,4
"2,000",5
coal2o4,7
re-extract,10
0.6,3
purifi,6
weigh,5
alexandria,10
oxygen-contain,14
jurisdict,9
hydroxyl,8
272,3
surpris,7
abnorm,6
neutron,7
uo4·2h2o,8
dri,3
power-to-weight,15
s-orbit,7
TV,2
log-norm,8
discoveri,9
surrend,7
2.70,4
442,3
and,3
yellow,6
105rh,5
filter,6
2030,4
devonian,8
0.001,5
radiolog,8
allotrop,8
attract,7
cytochrom,9
over-th,7
sur,3
ag2,3
dissolv,7
wc/metal,8
remov,5
unbranch,8
non-fissil,10
metalloenzym,12
multipli,8
phosphoru,9
gase,4
vessel,6
spell,5
seed,4
671,3
gather,6
seem,4
waal,4
nonirrit,8
car,3
assay,5
referenc,8
batteri,7
associ,6
crystallis,10
return,6
hexafluorozircon,16
requir,6
beef,4
field,5
item,4
told,4
wtp,3
bribe,5
cement,6
staphylococcu,13
retail,6
15.0,4
thousand,8
