reviews,
"Taking an Asian tour, we visited Singapore- which was the place I really wanted to visit. Spending some days there we went to the top of the building during the day, the views are incredible. Well with 53+ floors it was bound to be! The shape of the building - 3 towers topped by a ship shaped top is incredible. It’s the place to be to view the firework display, held each evening! There is also a restaurant & swimming pool to facilitate the hotel rooms within the structure. We met up with friends who happened to be over there at the same time & had a great time in the nightclub, and had a ringside seat to watch the light show, drink some wine & dance too! It’s a must visit",positive
We enjoyed our stay at 35th floor garden view! Staff at the concierge was very accommodating to my request to be at the high floor despite surge of guests at that time.We had a great time having breakfast at Spago at 57th floor! It was am Amazing experience!,positive
"Room is spacious, clean and had a great view of gardens by the Bay and the harbour. Lobby was crowded at check in on Saturday but wait wasn’t too long. Stay also came with a care package With hand sanitizer, masks and a mask case - very thoughtful. Great stay overall",positive
We managed to time this just right as the sun was going down. Make sure you are on the left hand side of the viewing platform to be able to see the Gardens by the Bay light show! Beautiful views of a wonderful city! Well worth the entrance fee!,positive
We stayed here for the access to the rooftop pool. The hotel itself is massive and you could easily get lost but it was worth it for us to have access to the rooftop pool. So many options for meals between restaurants and shopping mall attached to the hotel. Also a good location to see different tourist sites like the gardens on the bay,positive
"Room is clean and big. Nice view with balcony. Pool is definitely breathtaking with awesome views. Too sunny to swim in the day, took a swim and relax after 7pm, so windy and cool. Very nice of the hotel to give us a complimentary small slice of cake for our anniversary",positive
Spent five nights in Singapore to acclimatize to jetlag and flight arrival and departure times. Couldn’t justify 5 nights here due to the price but did opt for two nights. We were in a family room which was well appointed and quite spacious. Early check in without a problem. Got a room fridge delivered to store our alcohol and beverages as too pricey from the minibar. Great location. Ate at the Marvel restaurant for the black bunned Batman burger. Not bad. The rooftop pool was worth the price of the rooms. Spent many hours lounging in the sun and soaking in the pool and hot tubs,positive
Iconic! Popular despite it’s $300 -800 room rate. Good service. Incredible infinity pool for unforgettable photos! Outstanding celebrity restaurants like dbBistro and Cut. Wish the rooms were more modern and Japanese “full service” bathrooms installed. Wish TV system was more user friendly.,positive
"Amidst covid-19 with all the travel restrictions, we opted for a staycation at MBS. Our room faces Garden by the Bay and hence we've a spectacular views. The twin room is spacious, making it really comfortable for my 2 big girls and me. The infinity pool was generally quite crowded be it day or night, but it's still worth going to enjoy a good view of the city. No complimentary parking but valet parking is about $13 for 24h with multiple entry. So it's not that expensive is you consider how much you've to pay normally. Nice hotel to check-in to once a while to be a local tourist",positive
"My trip to Marina Bay Sands was absolutely beautiful!!! I very much enjoyed the balcony and how it looks onto the glorious country that is Singapore. It was a genuinely great experience. The service was slightly underwhelming though. I find that in Spago (the one restaurant that is available for public booking) is slightly less cared for than that of the other restaurants. The rooms seem to be lovely and clean, and yes that absolutely beautiful that you see everytime you enter your room. Even though we are in a time of Covid the staff count was at a regular rate. The food is lovely and there are so many restaurants to chose from. Once you have eventually visited all of the facility you can explore the Marina mall which has many shops. A nice thing to do is take a trip to the Gardens By the bay which are lovely and lit up at night. Altogether this was a lovely experience. Thank you Marina Bay Sands Team",positive
,
"I recently booked myself into a staycation at Marina Bay Sands, whilst I understand why people stay here, the view is incredible, including from the roof top pool - love the fact they limited the pool usage to prevent overcrowding, including at restaurants

My only concern is the hotel is looking quite tired (stains on carpets, couch torn, just general feel) for the price I was expecting a luxurious room, instead of something dated back 10+ years ago...being a hotel that prides itself on occupancy levels averaging 94-99% annually, thus would’ve been a perfect opportunity to improve its already dated product",neutral
"For a 5 star Hotel in Asia the hotel was pretty average. Little things like room keys not working and check-in desks not open were annoying and not what I expected. The iconic infinity pool had the best views in Singapore but its not designed for inclement weather. No sun umbrellas or rain covering so if it does rain, EVERYTHING gets wet. Worth staying only to cross off the bucket list. I won't be coming again.",neutral
"I stayed here early February for work, due to my work i had to travel and stay at hotels, this hotel has good product. My opinion, lacks human touch, i didn't feel the passion to help, and in fact i would say robotic. This hotel will be top class hotel if they master the human portion of the business. Also, do focus on maintenance and housekeeping.",neutral
"We booked Premier Room with Garden View and it comes with balcony. Was happy with the room until night time when we realised the light bulbs at the balcony was missing, hence my dad had to smoke in the dark which make it very inconvenient and unsafe for senior. It is very disappointing and didn't expect this thing to happen in MBS. Other than this, the room is nice and comfy",neutral
"MBS is of course one of the icons of Singapore. Everyone should do it once, just to experience the pool. That being said, its very expensive, in my opinion for what you get. almost S$500 a night. Check in took a while, but we were given temporary access to the pool while we waited for the room, which was nice since we just stayed one night. We got an upgrade to an upper room facing the gardens with a small balcony, which was nice to watch the gardens show without having to leave. The hotel itself and the mall feel a bit ""vegas"" like and doesn't feel like authentic Singapore to me, but to each their own.",neutral
"When you are paying top dollar, you expect something extra special. You don’t expect a crowded foyer with tourists taking photos, you don’t expect to wait over 20 minutes just to get to the front of the queue to check in. Rooms were large (slightly dated). I know this this is is an iconic hotel, but I get the feeling they are just relying on this too much. They could really take this place to the next level if they wanted to, but I just feel right now, they don’t need to, as there is just so much interest in the place regardless",neutral
"While the rooms are fine and offer an excellent view to the harbor or the bay, the hotel lobby is crowded all times like a tube station at rush hour. For the charged price I expect more privacy and tranqulity. Also, in prices as they are charged by MBS I would expect breakfast to be included.",neutral
